gen,best,avg,worst,feasible,mutationRate,diversityIndex,p95Transit,p95Wait,p95Cost,maxHopsRef
3,2.230608772365895,3.9369993621708055,35.16765676512923,1.0,0.06,0.17061713836477987,1315.75,1368.0,1035.2375000000002,8
4,2.230608772365895,2.4442251094249867,13.398304192881001,1.0,0.06,0.049266247379454814,1315.75,1368.0,1035.2375000000002,8
5,2.230608772365895,2.2306087723658883,2.230608772365895,1.0,0.06,0.04905660377358491,1315.75,1368.0,1035.2375000000002,8
6,2.230608772365895,2.2306087723658883,2.230608772365895,1.0,0.06,0.03702830188679245,1315.75,1368.0,1035.2375000000002,8
7,2.230608772365895,2.2306087723658883,2.230608772365895,1.0,0.06,0.024842767295597486,1315.75,1368.0,1035.2375000000002,8
8,2.230608772365895,2.2306087723658883,2.230608772365895,1.0,0.06,0.024842767295597486,1315.75,1368.0,1035.2375000000002,8
9,2.230608772365895,2.2306087723658883,2.230608772365895,1.0,0.06,0.06092767295597484,1315.75,1368.0,1035.2375000000002,8
10,2.230608772365895,2.2306087723658883,2.230608772365895,1.0,0.06,0.024842767295597486,1315.75,1368.0,1035.2375000000002,8
11,2.230608772365895,2.2306087723658883,2.230608772365895,1.0,0.09,0.0,1315.75,1368.0,1035.2375000000002,8
12,2.230608772365895,2.2306087723658883,2.230608772365895,1.0,0.09,0.0,1315.75,1368.0,1035.2375000000002,8
13,2.230608772365895,2.2306087723658883,2.230608772365895,1.0,0.09,0.0,1315.75,1368.0,1035.2375000000002,8
14,2.230608772365895,2.2306087723658883,2.230608772365895,1.0,0.09,0.0,1315.75,1368.0,1035.2375000000002,8
15,2.230608772365895,2.2306087723658883,2.230608772365895,1.0,0.09,0.0,1315.75,1368.0,1035.2375000000002,8
16,2.230608772365895,2.2306087723658883,2.230608772365895,1.0,0.09,0.0,1315.75,1368.0,1035.2375000000002,8
17,2.230608772365895,2.2306087723658883,2.230608772365895,1.0,0.09,0.0,1315.75,1368.0,1035.2375000000002,8
18,2.230608772365895,2.2306087723658883,2.230608772365895,1.0,0.09,0.0,1315.75,1368.0,1035.2375000000002,8
19,2.230608772365895,2.2306087723658883,2.230608772365895,1.0,0.09,0.0,1315.75,1368.0,1035.2375000000002,8
20,2.230608772365895,2.2306087723658883,2.230608772365895,1.0,0.09,0.0,1315.75,1368.0,1035.2375000000002,8
21,2.230608772365895,2.3505882721895266,21.427328744148053,1.0,0.135,0.01867138364779874,1315.75,1368.0,1035.2375000000002,8
